year,lga_name,charge_status_name,incident_count
2021,Whittlesea,No charges laid,2905
2021,Whittlesea,Unsolved,4016
2021,Wodonga,Charges laid,1066
2021,Wodonga,No charges laid,575
2021,Wodonga,Unsolved,776
2021,Wyndham,Charges laid,4959
2021,Wyndham,No charges laid,2718
2021,Wyndham,Unsolved,5029
2021,Yarra,Charges laid,3579
2021,Yarra,No charges laid,2304
2021,Yarra,Unsolved,4944
2021,Yarra Ranges,Charges laid,2381
2021,Yarra Ranges,No charges laid,1593
2021,Yarra Ranges,Unsolved,2137
2021,Yarriambiack,Charges laid,138
2021,Yarriambiack,No charges laid,87
2021,Yarriambiack,Unsolved,108
2020,Alpine,Charges laid,224
2020,Alpine,No charges laid,90
2020,Alpine,Unsolved,124
2020,Ararat,Charges laid,476
2020,Ararat,No charges laid,156
2020,Ararat,Unsolved,262
2020,Ballarat,Charges laid,3479
2020,Ballarat,No charges laid,753
2020,Ballarat,Unsolved,4479
2020,Banyule,Charges laid,3271
2020,Banyule,No charges laid,825
2020,Banyule,Unsolved,3166
2020,Bass Coast,Charges laid,805
2020,Bass Coast,No charges laid,332
2020,Bass Coast,Unsolved,649
2020,Baw Baw,Charges laid,1664
2020,Baw Baw,No charges laid,447
2020,Baw Baw,Unsolved,1476
2020,Bayside,Charges laid,1025
2020,Bayside,No charges laid,477
2020,Bayside,Unsolved,2693
2020,Benalla,Charges laid,467
2020,Benalla,No charges laid,178
2020,Benalla,Unsolved,290
2020,Boroondara,Charges laid,1592
2020,Boroondara,No charges laid,562
2020,Boroondara,Unsolved,4367
2020,Brimbank,Charges laid,6321
2020,Brimbank,No charges laid,1651
2020,Brimbank,Unsolved,7508
2020,Buloke,Charges laid,82
2020,Buloke,No charges laid,48
2020,Buloke,Unsolved,124
2020,Campaspe,Charges laid,1350
2020,Campaspe,No charges laid,378
2020,Campaspe,Unsolved,1070
2020,Cardinia,Charges laid,2137
2020,Cardinia,No charges laid,850
2020,Cardinia,Unsolved,2462
2020,Casey,Charges laid,5731
2020,Casey,No charges laid,3145
2020,Casey,Unsolved,8269
2020,Central Goldfields,Charges laid,441
2020,Central Goldfields,No charges laid,165
2020,Central Goldfields,Unsolved,260
2020,Colac-Otway,Charges laid,561
2020,Colac-Otway,No charges laid,232
2020,Colac-Otway,Unsolved,487
2020,Corangamite,Charges laid,274
2020,Corangamite,No charges laid,79
2020,Corangamite,Unsolved,195
2020,Darebin,Charges laid,3896
2020,Darebin,No charges laid,1045
2020,Darebin,Unsolved,6954
2020,East Gippsland,Charges laid,1705
2020,East Gippsland,No charges laid,769
2020,East Gippsland,Unsolved,1164
2020,Frankston,Charges laid,5250
2020,Frankston,No charges laid,1521
2020,Frankston,Unsolved,4325
2020,Gannawarra,Charges laid,319
2020,Gannawarra,No charges laid,140
2020,Gannawarra,Unsolved,149
2020,Glen Eira,Charges laid,1594
2020,Glen Eira,No charges laid,753
2020,Glen Eira,Unsolved,3758
2020,Glenelg,Charges laid,657
2020,Glenelg,No charges laid,201
2020,Glenelg,Unsolved,307
2020,Golden Plains,Charges laid,141
2020,Golden Plains,No charges laid,65
2020,Golden Plains,Unsolved,266
2020,Greater Bendigo,Charges laid,3982
2020,Greater Bendigo,No charges laid,1105
2020,Greater Bendigo,Unsolved,3236
2020,Greater Dandenong,Charges laid,5762
2020,Greater Dandenong,No charges laid,2240
2020,Greater Dandenong,Unsolved,6723
2020,Greater Geelong,Charges laid,7093
2020,Greater Geelong,No charges laid,1881
2020,Greater Geelong,Unsolved,8026
2020,Greater Shepparton,Charges laid,3027
2020,Greater Shepparton,No charges laid,876
2020,Greater Shepparton,Unsolved,2479
2020,Hepburn,Charges laid,263
2020,Hepburn,No charges laid,105
2020,Hepburn,Unsolved,370
2020,Hindmarsh,Charges laid,116
2020,Hindmarsh,No charges laid,47
2020,Hindmarsh,Unsolved,83
2020,Hobsons Bay,Charges laid,1842
2020,Hobsons Bay,No charges laid,665
2020,Hobsons Bay,Unsolved,2399
2020,Horsham,Charges laid,855
2020,Horsham,No charges laid,230
2020,Horsham,Unsolved,271
2020,Hume,Charges laid,6411
2020,Hume,No charges laid,2393
2020,Hume,Unsolved,7090
2020,Indigo,Charges laid,162
2020,Indigo,No charges laid,46
2020,Indigo,Unsolved,222
2020,Kingston,Charges laid,3407
2020,Kingston,No charges laid,1218
2020,Kingston,Unsolved,4409
2020,Knox,Charges laid,3265
2020,Knox,No charges laid,1183
2020,Knox,Unsolved,4425
2020,Latrobe,Charges laid,4989
2020,Latrobe,No charges laid,1506
2020,Latrobe,Unsolved,3580
2020,Loddon,Charges laid,174
2020,Loddon,No charges laid,40
2020,Loddon,Unsolved,152
2020,Macedon Ranges,Charges laid,774
2020,Macedon Ranges,No charges laid,225
2020,Macedon Ranges,Unsolved,725
2020,Manningham,Charges laid,1117
2020,Manningham,No charges laid,474
2020,Manningham,Unsolved,2150
2020,Mansfield,Charges laid,158
2020,Mansfield,No charges laid,58
2020,Mansfield,Unsolved,121
2020,Maribyrnong,Charges laid,2505
2020,Maribyrnong,No charges laid,656
2020,Maribyrnong,Unsolved,4144
2020,Maroondah,Charges laid,2618
2020,Maroondah,No charges laid,880
2020,Maroondah,Unsolved,2422
2020,Melbourne,Charges laid,9933
2020,Melbourne,No charges laid,4391
2020,Melbourne,Unsolved,12577
2020,Melton,Charges laid,3605
2020,Melton,No charges laid,966
2020,Melton,Unsolved,4749
2020,Mildura,Charges laid,2859
