Year,Year ending,Local Government Area,Location Division,Location Subdivision,Location Group,Incidents Recorded
2022,March,Baw Baw,1 Residential,11 Dwelling - private,113 Bungalow,3
2022,March,Baw Baw,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,7
2022,March,Baw Baw,1 Residential,11 Dwelling - private,116 Ministry Of Housing,2
2022,March,Baw Baw,1 Residential,11 Dwelling - private,117 Farm House,20
2022,March,Baw Baw,1 Residential,12 Dwelling  - non-private,121 Boarding House,1
2022,March,Baw Baw,1 Residential,12 Dwelling  - non-private,122 Holiday Home,4
2022,March,Baw Baw,1 Residential,12 Dwelling  - non-private,123 Guest House,2
2022,March,Baw Baw,1 Residential,12 Dwelling  - non-private,124 Nursing Home,3
2022,March,Baw Baw,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,20
2022,March,Baw Baw,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,6
2022,March,Baw Baw,1 Residential,13 Grounds/surrounding land,1310 Farm Building,8
2022,March,Baw Baw,1 Residential,13 Grounds/surrounding land,132 Backyard,28
2022,March,Baw Baw,1 Residential,13 Grounds/surrounding land,133 Frontyard,96
2022,March,Baw Baw,1 Residential,13 Grounds/surrounding land,134 Garage,23
2022,March,Baw Baw,1 Residential,13 Grounds/surrounding land,135 Shed,22
2022,March,Baw Baw,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,15
2022,March,Baw Baw,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),5
2022,March,Baw Baw,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,111
2022,March,Baw Baw,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,3
2022,March,Baw Baw,2 Community,21 Education,211 School,43
2022,March,Baw Baw,2 Community,21 Education,212 School Grounds,14
2022,March,Baw Baw,2 Community,21 Education,213 Other Educational,3
2022,March,Baw Baw,2 Community,22 Health,221 Hospital,9
2022,March,Baw Baw,2 Community,22 Health,222 Medical Centre,5
2022,March,Baw Baw,2 Community,23 Religious,231 Church,4
2022,March,Baw Baw,2 Community,23 Religious,232 Other religious,1
2022,March,Baw Baw,2 Community,24 Public Transport,241 Train,5
2022,March,Baw Baw,2 Community,24 Public Transport,242 Train Station,52
2022,March,Baw Baw,2 Community,24 Public Transport,243 Railway Carpark,10
2022,March,Baw Baw,2 Community,24 Public Transport,244 Tram/Tram Stop,1
2022,March,Baw Baw,2 Community,24 Public Transport,245 Bus/Bus Stop,5
