,Year,Local Government Area,Charge Status,Incidents Recorded
483,2020,Banyule,Charges laid,3271
484,2020,Banyule,No charges laid,825
485,2020,Banyule,Unsolved,3166
486,2020,Bass Coast,Charges laid,805
487,2020,Bass Coast,No charges laid,332
488,2020,Bass Coast,Unsolved,649
489,2020,Baw Baw,Charges laid,1664
490,2020,Baw Baw,No charges laid,447
491,2020,Baw Baw,Unsolved,1476
492,2020,Bayside,Charges laid,1025
493,2020,Bayside,No charges laid,477
494,2020,Bayside,Unsolved,2693
495,2020,Benalla,Charges laid,467
496,2020,Benalla,No charges laid,178
497,2020,Benalla,Unsolved,290
498,2020,Boroondara,Charges laid,1592
499,2020,Boroondara,No charges laid,562
500,2020,Boroondara,Unsolved,4367
501,2020,Brimbank,Charges laid,6321
502,2020,Brimbank,No charges laid,1651
503,2020,Brimbank,Unsolved,7508
504,2020,Buloke,Charges laid,82
505,2020,Buloke,No charges laid,48
506,2020,Buloke,Unsolved,124
507,2020,Campaspe,Charges laid,1350
508,2020,Campaspe,No charges laid,378
509,2020,Campaspe,Unsolved,1070
510,2020,Cardinia,Charges laid,2137
511,2020,Cardinia,No charges laid,850
512,2020,Cardinia,Unsolved,2462
513,2020,Casey,Charges laid,5731
514,2020,Casey,No charges laid,3145
515,2020,Casey,Unsolved,8269
516,2020,Central Goldfields,Charges laid,441
517,2020,Central Goldfields,No charges laid,165
518,2020,Central Goldfields,Unsolved,260
519,2020,Colac-Otway,Charges laid,561
520,2020,Colac-Otway,No charges laid,232
521,2020,Colac-Otway,Unsolved,487
522,2020,Corangamite,Charges laid,274
523,2020,Corangamite,No charges laid,79
524,2020,Corangamite,Unsolved,195
525,2020,Darebin,Charges laid,3896
526,2020,Darebin,No charges laid,1045
527,2020,Darebin,Unsolved,6954
528,2020,East Gippsland,Charges laid,1705
529,2020,East Gippsland,No charges laid,769
530,2020,East Gippsland,Unsolved,1164
531,2020,Frankston,Charges laid,5250
532,2020,Frankston,No charges laid,1521
533,2020,Frankston,Unsolved,4325
534,2020,Gannawarra,Charges laid,319
535,2020,Gannawarra,No charges laid,140
536,2020,Gannawarra,Unsolved,149
537,2020,Glen Eira,Charges laid,1594
538,2020,Glen Eira,No charges laid,753
539,2020,Glen Eira,Unsolved,3758
540,2020,Glenelg,Charges laid,657
541,2020,Glenelg,No charges laid,201
542,2020,Glenelg,Unsolved,307
543,2020,Golden Plains,Charges laid,141
544,2020,Golden Plains,No charges laid,65
545,2020,Golden Plains,Unsolved,266
546,2020,Greater Bendigo,Charges laid,3982
547,2020,Greater Bendigo,No charges laid,1105
548,2020,Greater Bendigo,Unsolved,3236
549,2020,Greater Dandenong,Charges laid,5762
550,2020,Greater Dandenong,No charges laid,2240
551,2020,Greater Dandenong,Unsolved,6723
552,2020,Greater Geelong,Charges laid,7093
553,2020,Greater Geelong,No charges laid,1881
554,2020,Greater Geelong,Unsolved,8026
555,2020,Greater Shepparton,Charges laid,3027
556,2020,Greater Shepparton,No charges laid,876
557,2020,Greater Shepparton,Unsolved,2479
558,2020,Hepburn,Charges laid,263
559,2020,Hepburn,No charges laid,105
560,2020,Hepburn,Unsolved,370
561,2020,Hindmarsh,Charges laid,116
562,2020,Hindmarsh,No charges laid,47
563,2020,Hindmarsh,Unsolved,83
564,2020,Hobsons Bay,Charges laid,1842
565,2020,Hobsons Bay,No charges laid,665
566,2020,Hobsons Bay,Unsolved,2399
567,2020,Horsham,Charges laid,855
568,2020,Horsham,No charges laid,230
569,2020,Horsham,Unsolved,271
570,2020,Hume,Charges laid,6411
571,2020,Hume,No charges laid,2393
572,2020,Hume,Unsolved,7090
573,2020,Indigo,Charges laid,162
574,2020,Indigo,No charges laid,46
575,2020,Indigo,Unsolved,222
576,2020,Kingston,Charges laid,3407
577,2020,Kingston,No charges laid,1218
578,2020,Kingston,Unsolved,4409
579,2020,Knox,Charges laid,3265
580,2020,Knox,No charges laid,1183
581,2020,Knox,Unsolved,4425
582,2020,Latrobe,Charges laid,4989
583,2020,Latrobe,No charges laid,1506
584,2020,Latrobe,Unsolved,3580
585,2020,Loddon,Charges laid,174
